contentid,title,addr1,addr2,mapx,mapy,firstimage
3537135,경성포차,강원특별자치도 강릉시 해안로 280 (강문동),1층 5호,128.9209633368,37.7906007670,
3536121,경포동해횟집,강원특별자치도 강릉시 창해로 491 (강문동),,128.9087556914,37.8038823250,
3536303,경포비치횟집,강원특별자치도 강릉시 창해로 419 (강문동),,128.9143442240,37.7991218740,
2687777,경포한미횟집,강원특별자치도 강릉시 창해로 491,,128.9088001327,37.8038545513,http://tong.visitkorea.or.kr/cms/resource/63/2709763_image2_1.jpg
3535775,계륵장군 강릉점,강원특별자치도 강릉시 입암로148번길 22 (입암동),1층,128.9184284850,37.7573212342,
2871127,고기랑조개랑,강원특별자치도 강릉시 강동면 헌화로 1029-5,,129.0356784659,37.6863706152,http://tong.visitkorea.or.kr/cms/resource/07/2871107_image2_1.jpg
3533380,고단황금막국수 강릉점,강원특별자치도 강릉시 하슬라로 199 (교동),1층,128.8752542745,37.7677330762,
3536558,고봉민김밥인 강릉역점,강원특별자치도 강릉시 강릉대로 337-5 (포남동),강릉역 동도센트리움 102동 105호,128.9037212006,37.7662338052,
3533806,고선생 화덕생선구이,강원특별자치도 강릉시 해안로 286 (강문동),,128.9205911357,37.7909979361,
2871151,고성생선찜,강원특별자치도 강릉시 성덕포남로 56,,128.9191644424,37.7601514763,http://tong.visitkorea.or.kr/cms/resource/42/2871142_image2_1.jpg
2913304,고심쌀롱,강원특별자치도 강릉시 사천면 진리해변길 131 2층,,128.8737909784,37.8425160591,http://tong.visitkorea.or.kr/cms/resource/56/2919656_image2_1.jpg
3535266,고씨네 동해막국수 강문본점,강원특별자치도 강릉시 창해로350번길 25 (강문동),1층~3층,128.9172912659,37.7963861364,
3536899,고향마을숯불돼지갈비,강원특별자치도 강릉시 성덕포남로182번길 42 (포남동),,128.9129480356,37.7698307912,
3547678,고향촌중화요리,강원특별자치도 강릉시 강동면 헌화로 1080,,129.0325814328,37.6892507776,
3536028,고향횟집,강원특별자치도 강릉시 강동면 염전길 155,,128.9843286096,37.7411216170,
3536448,곱창전골명가도계물닭갈비,강원특별자치도 강릉시 성산면 구산길 92,,128.8273213379,37.7147438288,
2837775,곳,강원특별자치도 강릉시 진리해변길 143,,128.8726549418,37.8434325973,http://tong.visitkorea.or.kr/cms/resource/68/2837768_image2_1.JPG
3534594,공대카페 2호점,강원특별자치도 강릉시 지변길 16 (지변동),1층,128.8731876188,37.7733962700,
3534792,관동닭갈비,강원특별자치도 강릉시 원대로 105 (교동),,128.8816482463,37.7643835890,
2871178,광덕식당,강원특별자치도 강릉시 경강로 2403 (송정동),,128.9227442930,37.7724973406,http://tong.visitkorea.or.kr/cms/resource/62/2871162_image2_1.jpg
2774300,교동반점,강원특별자치도 강릉시 강릉대로 205,(교동),128.8930029659,37.7583539520,http://tong.visitkorea.or.kr/cms/resource/77/2786477_image2_1.jpg
3537009,교동짬뽕강릉본점,강원특별자치도 강릉시 강릉대로 155 (교동),,128.8874923801,37.7574011769,
3532680,굴리아케이크,강원특별자치도 강릉시 금성로13번길 13-1 (성남동),1층,128.8998469385,37.7536601839,
3535211,굴사랑 교동택지점,강원특별자치도 강릉시 가작로 16-1 (교동),1층,128.8775845752,37.7691773992,
2891853,그다이마잇,강원특별자치도 강릉시 하평4길 32 (포남동),,128.9160087932,37.7723472265,http://tong.visitkorea.or.kr/cms/resource/47/2891847_image2_1.jpg
2871190,금천칼국수,강원특별자치도 강릉시 강릉대로 445-1,,128.9122229911,37.7733720342,http://tong.visitkorea.or.kr/cms/resource/87/2871187_image2_1.jpg
3535300,기둥참하누,강원특별자치도 강릉시 옥가로58번길 18-2 (옥천동),,128.9017687600,37.7610232587,
3533836,기사문&강릉락강정,강원특별자치도 강릉시 정원로 78-22 (교동),,128.8739600416,37.7646639618,
3534557,길목풍천장어,강원특별자치도 강릉시 경포로15번길 3 (지변동),,128.8759124057,37.7723436671,
3539795,김여사네,강원특별자치도 강릉시 옥가로19번길 6 (옥천동),,128.8985219101,37.7584373836,
2871214,김우정초당짬뽕순두부,강원특별자치도 강릉시 초당순두부길 102 (초당동),,128.9165442582,37.7916422269,http://tong.visitkorea.or.kr/cms/resource/98/2871198_image2_1.jpg
3542959,김윤식케익부띠끄회산점,"강원특별자치도 강릉시 회산로 344 (회산동, 강릉서희스타힐스리버파크)",,128.8659865407,37.7393806205,
2871246,까치장칼국수,강원특별자치도 강릉시 강릉대로313번길 62,,128.9052237686,37.7686363338,http://tong.visitkorea.or.kr/cms/resource/41/2871241_image2_1.jpg
3532998,깐숙이네,강원특별자치도 강릉시 성덕포남로 66 (입암동),,128.9184922618,37.7607597263,
